epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,10735.9,0.36054,0.54052,0.99517,0.76832,0.65145,0.70588,0.65892,0.20627,0.34405,0.89972,0.005842,0.005842,0.005842
44,10987.7,0.35613,0.53174,0.99305,0.75564,0.66293,0.69989,0.65177,0.20656,0.33999,0.89902,0.005743,0.005743,0.005743
45,11239.4,0.35562,0.53802,0.99349,0.77362,0.64637,0.69745,0.65153,0.20518,0.33917,0.89791,0.005644,0.005644,0.005644
46,11491.5,0.35489,0.52803,0.99313,0.71912,0.6622,0.70046,0.65366,0.20416,0.33775,0.89705,0.005545,0.005545,0.005545
47,11743.1,0.34854,0.52241,0.98887,0.74526,0.66312,0.70206,0.65633,0.20323,0.33649,0.89605,0.005446,0.005446,0.005446
48,11995.3,0.34879,0.52415,0.98915,0.72238,0.65609,0.69392,0.64835,0.20216,0.33335,0.89547,0.005347,0.005347,0.005347
49,12248,0.34844,0.52114,0.99102,0.71557,0.67096,0.70441,0.65945,0.20125,0.33176,0.89486,0.005248,0.005248,0.005248
50,12499.9,0.34851,0.51311,0.99066,0.68971,0.67514,0.70891,0.66253,0.20123,0.3311,0.89441,0.005149,0.005149,0.005149
51,12752.2,0.3462,0.51001,0.98804,0.69552,0.67313,0.70823,0.65986,0.20108,0.33082,0.89473,0.00505,0.00505,0.00505
52,13004.2,0.34645,0.50868,0.99048,0.71595,0.68139,0.71493,0.66547,0.20118,0.3299,0.89499,0.004951,0.004951,0.004951
53,13258,0.34798,0.5057,0.99054,0.76048,0.65649,0.71932,0.67145,0.20014,0.32877,0.89442,0.004852,0.004852,0.004852
54,13509.1,0.34147,0.49901,0.98491,0.73776,0.67747,0.71976,0.67018,0.19988,0.32765,0.89392,0.004753,0.004753,0.004753
55,13758.2,0.33919,0.48786,0.98389,0.74484,0.67021,0.72038,0.67014,0.1986,0.32644,0.89292,0.004654,0.004654,0.004654
56,14007.1,0.33994,0.49248,0.98685,0.73387,0.66181,0.72099,0.6723,0.19796,0.324,0.89251,0.004555,0.004555,0.004555
57,14256,0.34102,0.48443,0.9871,0.75222,0.66825,0.72281,0.67469,0.19735,0.32314,0.8919,0.004456,0.004456,0.004456
58,14505.6,0.34112,0.49432,0.98626,0.71891,0.67371,0.71526,0.66697,0.19661,0.32289,0.89122,0.004357,0.004357,0.004357
59,14753.9,0.33967,0.48604,0.98692,0.74725,0.66366,0.71283,0.6663,0.19645,0.32254,0.89102,0.004258,0.004258,0.004258
60,15003.2,0.33887,0.47702,0.98705,0.75976,0.66996,0.72092,0.67501,0.19623,0.32213,0.89053,0.004159,0.004159,0.004159
61,15251.7,0.33077,0.47423,0.98067,0.79407,0.66637,0.72205,0.67432,0.19584,0.32115,0.89024,0.00406,0.00406,0.00406
62,15500.6,0.33539,0.46971,0.98438,0.79339,0.66748,0.72681,0.67824,0.19608,0.32017,0.89046,0.003961,0.003961,0.003961
63,15749.4,0.33184,0.46976,0.98166,0.79145,0.669,0.72763,0.67962,0.19585,0.31971,0.89014,0.003862,0.003862,0.003862
64,15998.6,0.33403,0.47149,0.98183,0.7801,0.66878,0.72885,0.68136,0.19556,0.31916,0.88971,0.003763,0.003763,0.003763
65,16247.2,0.33049,0.46047,0.98116,0.78304,0.66743,0.73174,0.68443,0.19546,0.31874,0.88955,0.003664,0.003664,0.003664
66,16495.5,0.33176,0.46389,0.98309,0.79176,0.66853,0.73818,0.69018,0.19521,0.31841,0.88925,0.003565,0.003565,0.003565
67,16744.7,0.32742,0.45415,0.97733,0.74857,0.69056,0.73823,0.68912,0.19506,0.3177,0.88903,0.003466,0.003466,0.003466
68,16994.8,0.32843,0.45525,0.97964,0.75107,0.69163,0.73737,0.68955,0.19479,0.31689,0.88876,0.003367,0.003367,0.003367
69,17246.6,0.32559,0.45155,0.97771,0.79162,0.66331,0.73936,0.69001,0.19471,0.31638,0.88878,0.003268,0.003268,0.003268
70,17498.1,0.32201,0.4484,0.97876,0.79373,0.66245,0.73841,0.6892,0.19435,0.31594,0.88865,0.003169,0.003169,0.003169
71,17748.1,0.32283,0.44587,0.97615,0.76909,0.69405,0.73917,0.69053,0.19435,0.31556,0.88864,0.00307,0.00307,0.00307
